timestamp,age_group,subject,question,selected_answer,correct_answer,is_correct,time_taken_seconds
2025-12-29T16:20:46.041909,5-9,Math,2 + 3 = ?,B,B,TRUE,7.58
2025-12-29T16:20:50.745639,5-9,Math,5 - 2 = ?,B,B,TRUE,4.69
2025-12-29T16:20:54.572435,5-9,Math,3 + 4 = ?,B,B,TRUE,3.81
2025-12-29T17:33:19.414715,5-9,Math,2 + 3 = ?,B,B,TRUE,8.71
2025-12-29T17:33:21.910778,5-9,Math,5 - 2 = ?,B,B,TRUE,2.48
2025-12-29T17:33:24.067465,5-9,Math,3 + 4 = ?,B,B,TRUE,2.14
2025-12-29T17:34:52.781295,5-9,Math,2 + 3 = ?,C,B,FALSE,12.53
2025-12-29T17:35:09.670532,5-9,Math,5 - 2 = ?,B,B,TRUE,16.87
2025-12-29T17:35:15.423482,5-9,Math,3 + 4 = ?,C,B,FALSE,5.74
